Gender,Married,Education,Self Employed,Applicant Income per month (INR),Loan Amount (INR),Loan Amount Term (months),Credit History,Property Area
0,0,1,0,2965,155,60,1,1
0,1,1,1,6250,108,360,1,0
0,1,0,0,3406,123,360,1,0
0,0,1,1,6050,120,180,1,1
0,1,1,0,9703,112,360,1,1
0,1,0,0,6608,137,180,1,1
0,1,1,0,2882,123,480,1,0
0,1,1,0,1809,90,360,1,1
0,1,0,0,1668,201,360,0,1
1,0,1,0,3427,138,360,1,1
0,0,0,1,2583,104,360,1,0
0,1,0,0,2661,279,180,1,0
0,0,1,1,16250,192,360,0,1
1,0,1,0,3083,255,360,1,0
0,0,0,0,6045,115,360,0,0
0,1,1,0,5250,94,360,1,1
0,1,1,0,14683,304,360,1,0
0,1,0,0,4931,128,360,1,1
0,1,1,0,6083,330,360,0,1
0,0,1,0,2060,134,360,1,0
1,0,1,0,3481,155,36,1,1
1,0,1,0,7200,120,360,1,0
0,0,1,1,5166,128,360,1,0
0,0,1,0,4095,151,360,1,0
0,1,1,0,4708,150,360,1,1
0,1,1,0,4333,160,360,0,1
1,0,1,1,3418,135,360,1,0
1,0,1,0,2876,90,360,1,1
1,0,1,0,3237,30,360,1,1
0,1,1,0,11146,136,360,1,1
0,0,1,0,2833,126,360,1,0
0,1,1,0,2620,150,360,1,1
0,1,1,0,3900,90,360,1,0
0,1,1,0,2750,115,360,1,0
0,1,1,0,3993,207,360,1,1
0,1,1,0,3103,80,360,1,1
0,1,1,0,14583,436,360,1,1
1,1,0,0,4100,124,360,1,0
0,0,0,1,4053,158,360,0,1
0,1,1,0,3927,112,360,1,0
0,1,1,0,2301,78,180,1,1
1,0,1,0,1811,54,360,1,1
0,1,1,0,20667,980,360,1,0
0,0,1,0,3158,89,360,1,0
1,0,1,1,2600,99,300,1,1
0,1,1,0,3704,120,360,1,0
1,0,1,0,4124,115,360,1,0
0,0,1,0,9508,187,360,1,0
0,1,1,0,3075,139,360,1,0
0,1,1,0,4400,127,360,0,0
0,1,1,0,3153,134,360,1,1
1,0,1,0,5417,143,480,0,1
0,1,1,0,2383,172,360,1,1
0,1,1,0,4416,110,360,1,1
0,1,1,0,6875,200,360,1,0
1,1,1,0,4666,135,360,1,1
1,0,1,0,5000,151,480,1,0
0,1,1,0,2014,113,360,1,1
0,1,0,0,1800,93,360,0,1
0,1,0,0,2875,105,360,1,1
1,0,1,0,5000,132,360,1,0
0,1,1,0,1625,96,360,1,1
0,0,1,0,4000,140,360,1,0
0,0,0,0,2000,341,360,1,1
1,0,1,0,3762,135,360,1,0
1,0,1,0,2400,104,360,0,1
0,0,1,0,20233,480,360,1,0
0,1,0,0,7667,185,360,0,0
1,0,1,0,2917,84,360,1,0
0,0,0,0,2927,111,360,1,1
1,0,1,0,2507,56,360,1,0
0,1,1,1,5746,144,84,0,0
1,1,1,0,2473,159,360,1,0
0,1,0,0,3399,111,180,1,1
0,1,1,0,3717,120,360,1,0
0,1,1,0,2058,88,360,1,1
1,0,1,0,3541,112,360,1,0
0,1,1,1,10000,155,360,1,0
0,1,1,0,2400,115,360,1,1
0,1,1,0,4342,124,360,1,0
0,1,0,0,3601,280,360,1,0
1,0,1,0,3166,132,360,1,0
0,1,1,0,15000,300,360,1,0
0,1,1,1,8666,376,360,0,0
0,0,1,0,4917,130,360,0,0
0,1,1,1,5818,184,360,1,1
1,1,1,0,4333,110,360,1,1
1,0,1,0,2500,67,360,1,1
0,0,1,0,4384,117,360,1,1
0,0,1,0,2935,98,360,1,0
0,0,1,0,2833,71,360,1,1
0,1,1,0,63337,490,180,1,1
1,1,1,1,9833,182,180,1,1
0,1,1,1,5503,70,240,1,1
0,1,1,1,5250,160,360,1,0
0,1,1,1,2500,176,360,1,0
1,0,0,0,1830,500,360,0,1
1,0,1,0,4160,71,360,1,1
0,1,0,0,2647,173,360,1,0
1,0,1,0,2378,46,360,1,0
0,1,0,0,4554,158,360,1,1
0,1,0,0,3173,74,360,1,0
0,1,1,1,2583,125,360,1,0
0,1,1,0,2499,160,360,1,0
0,1,0,0,3523,152,360,0,0
0,1,0,0,3083,126,360,1,1
0,1,1,0,6333,259,360,0,1
0,1,1,0,2625,187,360,1,0
0,1,1,0,9083,228,360,1,0
0,0,1,0,8750,308,360,1,0
0,1,1,0,2666,95,360,1,0
1,1,1,1,5500,105,360,0,0
1,1,1,0,2423,130,360,1,0
1,0,1,0,3813,116,180,1,1
0,1,1,0,8333,165,360,1,0
0,1,1,0,3875,67,360,1,1
0,1,0,0,3000,100,480,0,1
0,1,1,0,5167,200,360,1,1
1,0,1,0,4723,81,360,1,1
0,1,1,0,5000,236,360,1,0
0,1,1,0,4750,130,360,1,1
0,1,1,0,3013,95,300,1,1
0,0,1,1,6822,141,360,1,0
0,0,0,0,6216,133,360,1,0
0,0,1,0,2500,96,480,1,0
0,0,1,0,5124,124,480,0,0
0,1,1,0,6325,175,360,1,1
0,1,1,0,19730,570,360,1,0
1,0,1,1,15759,55,360,1,0
0,1,1,0,5185,155,360,1,1
0,1,1,1,9323,380,300,1,0
0,0,1,0,3062,111,180,0,1
1,0,1,0,2764,110,360,1,1
0,1,1,0,4817,120,180,1,1
0,1,1,0,8750,130,360,1,0
0,1,1,0,4310,130,360,1,0
0,0,1,0,3069,71,480,1,1
0,1,1,0,5391,130,360,1,1
0,1,1,0,3333,128,360,1,0
0,0,1,0,5941,296,360,1,1
1,0,1,0,6000,156,360,1,1
0,0,1,1,7167,128,360,1,1
0,1,1,0,4566,100,360,1,1
0,0,1,1,3667,113,180,1,1
0,0,0,0,2346,132,360,1,0
0,1,0,0,3010,3000,360,0,1
0,1,1,0,2333,136,360,1,1
0,1,1,0,5488,125,360,1,0
0,0,1,0,9167,185,360,1,0
0,1,1,0,9504,275,360,1,0
0,1,1,0,2583,120,360,0,1
0,1,0,0,1993,113,180,1,1
0,1,1,0,3100,113,360,1,1
0,1,1,0,3276,135,360,1,1
1,0,1,0,3180,71,360,0,1
0,1,1,0,3033,95,360,1,1
0,0,0,0,3902,109,360,1,0
1,0,1,0,1500,103,360,0,0
0,1,0,0,2889,45,180,0,1
0,0,0,0,2755,65,300,1,0
0,0,1,0,2500,103,360,1,1
1,0,0,0,1963,53,360,1,0
1,0,1,1,7441,194,360,1,0
1,0,1,0,4547,115,360,1,1
0,1,0,0,2167,115,360,1,1
1,0,0,0,2213,66,360,1,0
0,1,1,0,8300,152,300,0,0
0,1,1,0,81000,360,360,0,0
1,0,0,1,3867,62,360,1,1
0,1,1,0,6256,160,360,1,1
0,1,0,0,6096,218,360,0,0
0,1,0,0,2253,110,360,1,0
1,1,0,0,2149,178,360,0,1
1,0,1,0,2995,60,360,1,1
1,0,1,0,2600,160,360,1,1
0,1,1,1,1600,239,360,1,1
0,1,1,0,1025,112,360,1,0
0,1,1,0,3246,138,360,1,0
0,1,1,0,5829,138,360,1,0
1,0,0,0,2720,80,12,0,1
0,1,1,0,1820,100,360,1,1
0,1,1,0,7250,110,60,0,1
0,1,1,0,14880,96,360,1,1
0,1,1,0,2666,121,360,1,0
1,0,0,0,4606,81,360,1,0
0,1,1,0,5935,133,360,1,0
0,1,1,0,2920,87,360,1,0
0,0,0,0,2717,60,180,1,1
1,0,1,1,8624,150,360,1,0
0,0,1,0,6500,105,360,0,0
0,0,1,0,12876,405,360,1,1
0,1,1,0,2425,143,360,1,0
0,0,1,0,3750,100,360,1,1
1,0,1,0,10047,643,240,1,1
0,0,1,0,1926,50,360,1,0
0,1,1,0,2213,900,360,1,1
0,0,1,1,10416,187,360,0,1
1,1,0,1,7142,138,360,1,0
0,0,1,0,3660,187,360,1,0
0,1,1,0,7901,180,360,1,0
0,0,0,0,4707,148,360,1,1
0,0,1,0,37719,152,360,1,1
0,1,1,0,7333,175,300,0,0
0,1,1,1,3466,130,360,1,0
0,1,0,0,4652,110,360,1,0
0,1,1,1,3539,55,360,1,0
0,1,1,0,3340,150,360,0,0
0,0,0,1,2769,190,360,1,1
0,1,0,0,2309,125,360,0,0
0,1,0,0,1958,60,300,0,1
0,1,1,0,3948,149,360,0,0
0,1,1,0,2483,90,180,0,0
0,0,1,1,7085,84,360,1,0
0,1,1,0,3859,96,360,1,1
0,1,1,0,4301,118,360,1,1
0,1,1,0,3708,173,360,1,1
0,0,1,0,4354,136,360,1,0
0,1,1,0,8334,160,360,1,0
1,1,1,1,2083,160,360,0,0
0,1,1,0,7740,128,180,1,1
0,1,1,0,3015,153,360,1,0
1,0,0,0,5191,132,360,1,0
0,0,1,0,4166,98,360,0,1
0,0,1,0,6000,140,360,1,0
0,1,0,0,2947,70,180,0,1
1,1,1,0,16692,110,360,1,0
1,1,0,0,210,98,360,1,1
0,1,1,0,4333,110,360,1,1
0,1,1,1,3450,162,360,1,0
0,1,0,0,2653,113,180,0,0
0,1,1,0,4691,100,360,1,1
1,0,1,1,2500,93,360,1,1
0,0,1,0,5532,162,360,1,0
0,1,1,1,16525,150,360,1,0
0,1,1,0,6700,230,300,1,0
1,1,1,0,2873,132,360,0,1
0,1,1,1,16667,86,360,1,0
0,1,1,0,2947,389,360,1,1
1,0,0,0,4350,154,360,1,0
0,1,0,0,3095,113,360,1,0
0,1,1,0,2083,128,360,1,1
0,1,1,0,10833,234,360,1,1
0,1,1,0,8333,246,360,1,0
0,1,0,0,1958,131,360,1,0
0,0,1,0,3547,80,360,0,0
0,1,1,0,18333,500,360,1,1
0,1,1,1,4583,160,360,1,1
0,0,1,0,2435,75,360,1,1
0,0,0,0,2699,96,360,1,0
0,1,0,0,5333,186,360,0,1
0,0,0,0,3691,110,360,1,0
1,0,0,1,17263,225,360,1,1
0,1,1,0,3597,119,360,0,0
1,1,1,0,3326,105,84,1,1
0,1,0,0,2600,107,360,1,0
0,1,1,0,4625,111,12,0,1
0,1,1,1,2895,95,360,1,0
0,0,1,0,6283,209,360,0,0
1,0,1,0,645,113,480,1,0
1,0,1,0,3159,100,360,1,0
0,1,1,0,4865,208,360,1,1
0,1,0,0,4050,138,360,1,0
0,1,0,0,3814,124,300,1,0
0,1,1,0,3510,243,360,1,0
0,1,1,0,20833,480,360,1,1
1,0,1,0,3583,96,360,1,1
0,1,1,1,2479,188,360,1,1
1,0,1,0,13262,40,360,1,1
0,0,0,0,3598,100,360,1,0
0,1,1,0,6065,250,360,1,1
0,1,1,0,3283,148,360,1,1
0,1,1,0,2130,70,180,1,1
0,0,1,0,5815,311,360,1,0
0,1,1,0,3466,150,360,1,0
1,1,1,0,2031,113,480,1,0
0,1,0,0,3074,123,360,0,0
0,0,1,0,4683,185,360,1,1
1,0,0,0,3400,95,360,1,0
0,1,0,0,2192,45,360,1,1
0,0,1,0,2500,55,360,1,0
0,1,1,1,5677,100,360,1,0
0,1,1,1,7948,480,360,1,0
0,0,1,0,4680,69,360,1,1
0,1,1,1,17500,400,360,1,0
0,1,1,0,3775,110,360,1,0
0,1,0,0,5285,161,360,0,0
0,0,0,0,2679,94,360,1,1
0,0,0,0,6783,130,360,1,0
0,1,1,0,1025,216,360,0,0
0,1,1,0,4281,100,360,1,1
0,0,1,0,3588,110,360,0,0
0,0,1,0,11250,196,360,1,1
1,0,0,1,18165,125,360,1,1
0,0,0,0,2550,126,360,1,0
0,1,1,0,6133,324,360,1,1
0,0,1,0,3617,107,360,1,1
0,1,0,0,2917,66,360,1,0
0,1,1,0,6417,157,180,1,0
1,1,1,0,4608,140,180,1,0
1,0,1,0,2138,99,360,0,1
1,0,1,1,3652,95,360,1,0
0,1,0,0,2239,128,360,1,1
1,1,0,0,3017,102,360,1,1
0,1,1,0,2768,155,360,1,0
0,0,0,0,3358,80,36,1,0
0,0,1,0,2526,145,360,1,0
1,0,1,0,5000,103,360,0,1
0,1,1,0,2785,110,360,1,0
0,1,1,1,6633,698,360,0,0
0,1,0,0,2492,266,360,1,0
0,1,1,0,3333,158,360,1,1
0,1,0,0,2454,181,360,0,1
0,1,1,0,3593,132,180,0,0
0,1,1,0,5468,26,360,1,0
1,0,1,0,2667,84,360,1,1
0,1,1,1,10139,260,360,1,0
0,1,1,0,3887,162,360,1,0
1,1,1,0,4180,182,360,1,1
0,1,0,0,3675,108,360,1,1
1,1,1,1,19484,600,360,1,0
0,1,1,0,5923,211,360,1,0
0,0,0,1,5800,132,360,1,1
0,1,1,0,8799,258,360,0,1
0,1,0,0,4467,120,360,0,0
0,0,1,0,3333,70,360,1,1
0,1,1,0,3400,123,360,0,0
1,0,1,0,2378,9,360,1,1
0,1,1,0,3166,104,360,0,1
0,1,1,0,3417,186,360,1,1
0,1,1,0,5116,165,360,0,1
0,1,1,0,16666,275,360,1,1
0,1,0,0,6125,187,480,1,1
0,1,1,0,6406,150,360,1,1
0,1,1,0,3159,108,84,1,1
1,1,1,0,3087,136,360,0,0
0,0,1,0,3229,110,360,1,1
0,1,1,0,1782,107,360,1,0
0,0,1,0,3182,161,360,1,1
0,1,1,0,6540,205,360,1,0
0,0,1,0,1836,90,360,1,1
1,1,1,0,3166,36,360,1,1
0,1,1,0,1880,61,360,1,0
0,1,1,0,2787,146,360,0,0
0,1,1,0,4283,172,84,1,0
0,1,1,0,2297,104,360,1,1
1,0,0,0,2165,70,360,1,0
1,0,1,0,4750,94,360,1,0
0,1,1,1,2726,106,360,0,1
0,1,1,0,3000,56,180,1,1
0,1,1,1,6000,205,240,1,1
1,0,1,1,9357,292,360,1,0
0,1,1,0,3859,142,180,1,0
0,1,1,1,16120,260,360,1,1
0,0,0,0,3833,110,360,1,0
0,1,0,1,6383,187,360,1,0
0,0,1,0,2987,88,360,0,0
0,1,1,1,9963,180,360,1,0
0,1,1,0,5780,192,360,1,1
1,0,1,1,416,350,180,0,1
0,1,0,1,2894,155,360,1,0
0,1,1,0,5703,128,360,1,1
0,0,1,0,3676,172,360,1,0
1,1,1,0,12000,496,360,1,1
0,1,0,0,2400,1200,180,1,1
0,1,1,0,3400,173,360,1,1
0,1,0,0,3987,157,360,1,0
0,1,1,0,3232,108,360,1,0
1,0,1,0,2900,71,360,1,0
0,1,1,0,4106,40,180,1,0
0,1,1,0,8072,253,360,1,1
0,1,1,0,7583,187,360,1,1
1,0,1,1,4583,133,360,0,1
